cycle,timestamp,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,ci_lo,ci_hi,spearman_r_ema,spearman_p_ema,pearson_r_ema,pearson_p_ema,kendall_tau_ema,kendall_p_ema,spearman_r_best,spearman_p_best,pearson_r_best,pearson_p_best,kendall_tau_best,kendall_p_best,mean_val_acc1,std_val_acc1,mean_ema_acc1,mean_best_val_acc1,n_archs
0,2026-04-24T17:54:09.428940,0.2698839326108968,0.3306579516529914,0.8897419005751084,8.959716878537245e-06,0.1722507755289644,0.372467048566824,-0.33089591966356896,0.7277676950998185,0.25022351367897727,0.3684041395575657,0.7761946130709326,0.0006682729925532803,0.19138975058773822,0.3217063432062477,0.2698839326108968,0.3306579516529914,0.8897419005751084,8.959716878537245e-06,0.1722507755289644,0.372467048566824,57.18263457742031,14.310736424116673,55.69098930957174,57.18263457742031,15
1,2026-04-25T02:21:00.285381,0.1386139452643757,0.6365105221079713,0.14324569337213294,0.6251689629992179,0.04419956960878639,0.82640978682081,-0.4593418010608868,0.5893231811881569,0.29042921864916815,0.31378957883681413,0.871608429670717,4.876663343238215e-05,0.1546984936307524,0.44273701906434393,0.1386139452643757,0.6365105221079713,0.14324569337213294,0.6251689629992179,0.04419956960878639,0.82640978682081,62.911746688006005,2.820526449334018,58.70960361042511,62.911746688006005,14
2,2026-04-25T11:06:24.067073,0.1364137239109729,0.6419243321543964,0.09756810664412746,0.7400230388216036,0.022099784804393195,0.9126836080591444,-0.476510067114094,0.5818181818181818,0.27942811188215416,0.3332909251378404,0.856563900664062,9.163688473800835e-05,0.13259870882635919,0.5105861174296338,0.1364137239109729,0.6419243321543964,0.09756810664412746,0.7400230388216036,0.022099784804393195,0.9126836080591444,63.60649858324824,2.6848067300353367,61.5991682138151,63.60649858324824,14
3,2026-04-25T20:01:02.272903,0.10781084631673665,0.713728121579053,0.06820692207881338,0.8167853835310583,0.022099784804393195,0.9126836080591444,-0.4977859371394749,0.5835332422096967,0.27942811188215416,0.3332909251378404,0.7816939751440549,0.0009584380191446874,0.13259870882635919,0.5105861174296338,0.10341040360993106,0.7249905123330244,0.07328120692387277,0.8033895816851713,0.0,1.0,63.83380371777493,2.865940223405238,63.73122515260962,63.88661283313258,14
4,2026-04-26T04:56:54.546500,0.10341040360993106,0.7249905123330244,0.09755790974840996,0.7400493531929809,0.06629935441317959,0.7421839102908943,-0.4593424256664389,0.5804222053171034,0.2552256769947235,0.3785080525439305,0.617402098660351,0.018648927697755214,0.11049892402196598,0.5835057661545309,0.09900996090312549,0.7363048257178262,0.09682053545439942,0.7419529392286982,0.04419956960878639,0.82640978682081,64.20289403648634,2.7551948478480295,65.05151077032247,64.23865020542723,14
